name,DOB,PAN,aadhaar_no,salary,allowances,pension_type,acc_no,bank_name,bank_type
Tom,12/02/1990,23788789NA,0987768947565423,500000,500,Self,AIB2345,AIB,Private
Mary,22/12/1988,788576NA,9835748592084536,750000,1000,Family,BOI745,BOI,Public
Vignesh,14/11/1989,576889989NA,98675643546677878,340000,600,Family,SBI6754,SBI,Public
Orla,09/02/1993,45667889NA,67554567989809,120000,750,Family,BOI985,BOI,Public
Pooja,06/06/1990,7568894433NA,4567898564343,670000,1400,Self,HDFC54789,HDFC,Private
Akansha,10/12/1992,2436579NA,785454677887,90000,1050,Self,ICICI23446,ICICI,Private
Manoj,26/02/1985,85724359NA,674239878676756,300000,800,Family,SBI8765,SBI,Public
Paul,17/05/1982,6745546NA,54566778787854,140000,650,Family,BOI56799,BOI,Public
Sinead,22/04/1991,790562645NA,7656435456767888,750000,500,Self,AIB7539,AIB,Private
John,30/08/1994,8647577779NA,98765443545667778,190000,400,Self,AIB2334,AIB,Private
